text1,text2,similarity
The car is parked outside,I am feeling great,0.0
The game was fun,I am cleaning my room,0.0
I am calm and relaxed,A storm is coming,0.17
The car is parked outside,The weather is cold,0.51
I am cleaning my room,The dog is barking,0.08
It is cloudy today,The phone is ringing,0.23
There is a thunderstorm,It is sunny today,0.35
I am scared,I am reading a book,0.84
I feel confident,I am reading a book,0.37
The weather is cold,The phone is ringing,0.3
There is a thunderstorm,I am a bit upset,0.17
I am cooking dinner,I am calm and relaxed,0.69
The movie was boring,I am calm and relaxed,0.0
I am very tired,It is sunny today,0.05
The movie was boring,I feel excited,0.0
I feel confident,I am doing yoga,0.2
The room is clean,I am coding a project,0.1
I am coding a project,The bed is comfortable,0.0
It is a beautiful day,I am doing yoga,0.0
The room is clean,I am scared,0.19
The car is parked outside,A storm is coming,0.17
I am doing yoga,I am going to the gym,0.47
I feel confident,I am watching a movie,0.28
The weather is cold,The bed is comfortable,0.33
The dog is barking,I am scared,0.0
I am watching a movie,A storm is coming,0.19
I am happy today,I am very tired,0.39
The movie was boring,I am very tired,0.02
I am scared,The dog is barking,0.0
I feel nervous,The car is parked outside,0.0
It is raining today,The weather is hot,0.31
The food tastes great,I am coding a project,0.0
It is raining today,I am happy today,0.34
The computer is running,I am happy today,0.13
I am cooking dinner,I am learning a new language,0.65
I am very tired,I am calm and relaxed,0.43
It is raining today,The game was fun,0.08
I feel excited,The game was fun,0.0
I am cooking dinner,The car is parked outside,0.17
It is windy today,The bed is comfortable,0.11
The bed is comfortable,There is a thunderstorm,0.43
The game was fun,I am doing yoga,0.0
The phone is ringing,I am a bit upset,0.0
The bed is comfortable,I am watching a movie,0.0
I am playing football,The dog is barking,0.08
The movie was boring,It is a beautiful day,0.17
I am very tired,I am doing yoga,0.48
I am watching a movie,I feel excited,0.22
I am calm and relaxed,I feel confident,0.01
The weather is hot,I am cleaning my room,0.0
I am playing football,I am going to the gym,0.47
I am coding a project,I am coding a project,0.97
I am cleaning my room,I am feeling great,0.45
It might snow today,I am happy today,0.22
There is a thunderstorm,It is a beautiful day,0.32
It might snow today,I am happy today,0.34
I am very tired,A storm is coming,0.0
It is a beautiful day,I am reading a book,0.29
I am calm and relaxed,I feel excited,0.02
I feel confident,I am watching a movie,0.35
It is windy today,It is raining today,0.61
I am cooking dinner,The cat is sleeping,0.11
I am watching a movie,The game was fun,0.02
I am a bit upset,I am sad today,0.27
I am coding a project,The food tastes great,0.05
I am cooking dinner,I am calm and relaxed,0.39
I am very tired,The movie was boring,0.0
I am coding a project,The computer is running,0.0
The bed is comfortable,It is windy today,0.18
I am very tired,The food tastes great,0.0
The movie was boring,I am very tired,0.14
I am reading a book,The car is parked outside,0.0
It is a beautiful day,I am playing football,0.0
I am cleaning my room,I am reading a book,0.5
A storm is coming,I am going to the gym,0.0
The car is parked outside,I am reading a book,0.17
The computer is running,The bed is comfortable,0.66
I am learning a new language,It might snow today,0.0
I am doing yoga,It is sunny today,0.0
The room is clean,I am playing football,0.04
I am calm and relaxed,I am calm and relaxed,0.91
I am playing football,I am studying for exams,0.38
I am playing football,It is a beautiful day,0.0
I am studying for exams,The phone is ringing,0.0
I am scared,It might snow today,0.04
I am sad today,It is raining today,0.11
I am cleaning my room,The room is clean,0.15
I am cleaning my room,It is cloudy today,0.01
I am watching a movie,There is a thunderstorm,0.14
The room is clean,The game was fun,0.1
I am watching a movie,The room is clean,0.11
The phone is ringing,I am calm and relaxed,0.01
The car is parked outside,I am feeling great,0.13
I feel nervous,I am sad today,0.14
I am feeling great,It might snow today,0.0
The room is clean,The weather is hot,0.65
It might snow today,I am a bit upset,0.0
The phone is ringing,I am cleaning my room,0.0
I am coding a project,It is windy today,0.0
It is cloudy today,The cat is sleeping,0.43
I am playing football,I am playing football,0.82
The computer is running,The weather is cold,0.65
I am playing football,I am coding a project,0.64
The phone is ringing,I am scared,0.0
The weather is cold,The movie was boring,0.27
I am cooking dinner,I am learning a new language,0.42
There is a thunderstorm,I feel confident,0.13
I am studying for exams,It might snow today,0.0
I am happy today,A storm is coming,0.02
The food tastes great,I am learning a new language,0.0
The room is clean,I feel excited,0.2
I am cleaning my room,I am happy today,0.37
I am scared,The computer is running,0.14
I am watching a movie,The phone is ringing,0.06
I am cooking dinner,I am feeling great,0.48
The phone is ringing,It might snow today,0.12
I am happy today,It is a beautiful day,0.0
I feel excited,It might snow today,0.0
I am a bit upset,I feel excited,0.13
I feel excited,The cat is sleeping,0.0
The room is clean,The bed is comfortable,0.58
The movie was boring,It is windy today,0.16
I feel nervous,I am doing yoga,0.4
I feel nervous,It is a beautiful day,0.0
The dog is barking,The game was fun,0.06
It is sunny today,The movie was boring,0.0
The game was fun,I feel excited,0.0
I am playing football,I am doing yoga,0.34
The car is parked outside,I am very tired,0.05
The phone is ringing,I am watching a movie,0.0
The car is parked outside,I am very tired,0.09
I am a bit upset,I am learning a new language,0.59
The computer is running,I am calm and relaxed,0.0
I am cleaning my room,I am learning a new language,0.4
I am reading a book,The car is parked outside,0.03
The computer is running,The room is clean,0.47
I am going to the gym,The computer is running,0.28
I feel confident,The bed is comfortable,0.0
I am feeling great,The weather is cold,0.12
I am sad today,It is sunny today,0.35
The game was fun,I am calm and relaxed,0.0
It is a beautiful day,It is cloudy today,0.47
The weather is hot,I am sad today,0.13
It is a beautiful day,It is cloudy today,0.58
There is a thunderstorm,The weather is cold,0.12
The dog is barking,I am cooking dinner,0.02
The bed is comfortable,The movie was boring,0.23
It is windy today,The phone is ringing,0.35
It might snow today,I am watching a movie,0.16
I am sad today,The weather is cold,0.0
I am studying for exams,The car is parked outside,0.19
The room is clean,I am reading a book,0.0
The bed is comfortable,I am cleaning my room,0.11
It is windy today,The bed is comfortable,0.26
I am sad today,I am calm and relaxed,0.43
I am very tired,I am sad today,0.59
I am cleaning my room,I am playing football,0.27
I feel confident,I am a bit upset,0.37
I feel nervous,The bed is comfortable,0.0
The food tastes great,A storm is coming,0.0
The food tastes great,The room is clean,0.2
The room is clean,The weather is cold,0.5
It is windy today,I am sad today,0.36
It is a beautiful day,I am calm and relaxed,0.0
I am coding a project,I am calm and relaxed,0.57
I am a bit upset,It is raining today,0.0
I am feeling great,The weather is hot,0.0
The computer is running,The car is parked outside,0.65
The cat is sleeping,I feel excited,0.0
I am doing yoga,I am playing football,0.56
It is sunny today,I am playing football,0.0
The computer is running,The cat is sleeping,0.56
I am playing football,I am sad today,0.34
The computer is running,I am a bit upset,0.16
The dog is barking,The food tastes great,0.16
I am playing football,I am doing yoga,0.5
I am watching a movie,It is raining today,0.0
I am doing yoga,The game was fun,0.0
The room is clean,I am feeling great,0.11
I am watching a movie,I am feeling great,0.31
It is windy today,It is raining today,0.83
The phone is ringing,The food tastes great,0.25
I am scared,I am cooking dinner,0.49
I am feeling great,The weather is hot,0.0
The dog is barking,There is a thunderstorm,0.32
I am feeling great,The cat is sleeping,0.0
A storm is coming,I am watching a movie,0.41
It is sunny today,The phone is ringing,0.27
The computer is running,There is a thunderstorm,0.35
It might snow today,The bed is comfortable,0.06
It is raining today,I am studying for exams,0.04
I am cooking dinner,It is raining today,0.18
I am doing yoga,The food tastes great,0.0
The computer is running,The car is parked outside,0.54
There is a thunderstorm,I am happy today,0.16
The game was fun,The cat is sleeping,0.32
The room is clean,The phone is ringing,0.53
There is a thunderstorm,I am sad today,0.01
I am doing yoga,The bed is comfortable,0.15
A storm is coming,There is a thunderstorm,0.46
I am scared,It is a beautiful day,0.0
It is windy today,The game was fun,0.0
The weather is hot,I am coding a project,0.0
It is sunny today,It is cloudy today,0.72
The food tastes great,I am coding a project,0.18
It is windy today,The movie was boring,0.0
I am cooking dinner,I feel confident,0.21
I am calm and relaxed,It is windy today,0.0
I am a bit upset,I am doing yoga,0.28
It is a beautiful day,It is raining today,0.45
I am doing yoga,I am very tired,0.33
I am feeling great,I am learning a new language,0.35
I am studying for exams,I am feeling great,0.31
It is raining today,I am studying for exams,0.02
The bed is comfortable,The food tastes great,0.12
A storm is coming,It is sunny today,0.35
I am reading a book,The phone is ringing,0.0
I am very tired,I am watching a movie,0.33
I am watching a movie,I feel nervous,0.09
I am calm and relaxed,I feel excited,0.1
It is sunny today,The food tastes great,0.0
It is raining today,The phone is ringing,0.4
I am studying for exams,I am a bit upset,0.4
The bed is comfortable,I am scared,0.0
I am calm and relaxed,The dog is barking,0.0
The cat is sleeping,There is a thunderstorm,0.23
I am feeling great,I am a bit upset,0.45
The dog is barking,I am scared,0.0
I am scared,It is sunny today,0.0
The weather is cold,It is cloudy today,0.15
I am calm and relaxed,I am a bit upset,0.23
It is sunny today,I am sad today,0.37
The phone is ringing,I am cleaning my room,0.07
There is a thunderstorm,I am happy today,0.15
The food tastes great,I am learning a new language,0.0
The room is clean,I am studying for exams,0.12
I am very tired,I feel nervous,0.09
The food tastes great,I am doing yoga,0.0
I am going to the gym,It is sunny today,0.0
The game was fun,I am doing yoga,0.0
I am cooking dinner,I am doing yoga,0.63
I am sad today,It is raining today,0.07
The bed is comfortable,The bed is comfortable,1.0
The computer is running,There is a thunderstorm,0.16
The room is clean,It is windy today,0.17
It might snow today,I am a bit upset,0.09
It is raining today,I am sad today,0.36
I am calm and relaxed,I feel excited,0.15
The weather is hot,I am learning a new language,0.08
I am reading a book,The cat is sleeping,0.0
The bed is comfortable,I am playing football,0.0
I am studying for exams,The weather is cold,0.03
The computer is running,I feel confident,0.0
It is cloudy today,I am going to the gym,0.0
A storm is coming,The bed is comfortable,0.26
It is a beautiful day,The cat is sleeping,0.18
I am sad today,There is a thunderstorm,0.08
The weather is cold,I am learning a new language,0.0
It is cloudy today,There is a thunderstorm,0.41
I am reading a book,I feel confident,0.27
The bed is comfortable,I am reading a book,0.0
I am scared,I am coding a project,0.53
I am happy today,I am a bit upset,0.57
I feel nervous,I am calm and relaxed,0.28
I am doing yoga,The game was fun,0.15
The game was fun,It is sunny today,0.0
The movie was boring,I am cleaning my room,0.0
I am very tired,I am very tired,1.0
I am a bit upset,The weather is hot,0.02
There is a thunderstorm,I am happy today,0.0
It is sunny today,I feel excited,0.11
I am feeling great,I am sad today,0.3
I am watching a movie,I am going to the gym,0.23
I am going to the gym,I am happy today,0.18
The bed is comfortable,The food tastes great,0.34
I am going to the gym,I am a bit upset,0.47
I feel nervous,The bed is comfortable,0.0
I am learning a new language,The food tastes great,0.0
It is windy today,I am feeling great,0.0
It is raining today,There is a thunderstorm,0.18
I am cleaning my room,I am doing yoga,0.27
The food tastes great,I am reading a book,0.0
It is windy today,I am cooking dinner,0.18
I am a bit upset,I am feeling great,0.23
I am very tired,I am a bit upset,0.36
The food tastes great,The food tastes great,1.0
There is a thunderstorm,I am scared,0.0
I am coding a project,I am sad today,0.49
The computer is running,The phone is ringing,0.32
I feel excited,I am playing football,0.24
I am watching a movie,It is sunny today,0.0
The cat is sleeping,It is a beautiful day,0.1
I am studying for exams,I am happy today,0.43
The cat is sleeping,The car is parked outside,0.47
The phone is ringing,I am playing football,0.0
The game was fun,I am sad today,0.0
The dog is barking,The bed is comfortable,0.49
The weather is hot,I am coding a project,0.0
I am coding a project,I am coding a project,0.9
I am cleaning my room,I am watching a movie,0.4
I am happy today,I feel nervous,0.12
I am coding a project,The game was fun,0.0
It is sunny today,I am calm and relaxed,0.0
I am a bit upset,It is raining today,0.2
The weather is cold,I am coding a project,0.0
It is windy today,It is raining today,0.72
It is raining today,The room is clean,0.2
I am watching a movie,I am very tired,0.58
The food tastes great,The bed is comfortable,0.12
I am playing football,The car is parked outside,0.06
I am doing yoga,I am happy today,0.51
The weather is cold,It is a beautiful day,0.42
The movie was boring,I am sad today,0.07
The movie was boring,I am studying for exams,0.12
I am doing yoga,I am very tired,0.3
The phone is ringing,A storm is coming,0.23
It is a beautiful day,It might snow today,0.05
The weather is hot,I am cleaning my room,0.19
I am coding a project,I am cleaning my room,0.47
The weather is hot,I am studying for exams,0.0
I am watching a movie,The game was fun,0.0
I am going to the gym,I feel nervous,0.1
It is sunny today,It is cloudy today,0.73
I am playing football,I am scared,0.66
I am cooking dinner,The car is parked outside,0.0
I am sad today,I am reading a book,0.4
I am coding a project,The cat is sleeping,0.0
I am cooking dinner,The cat is sleeping,0.13
It is raining today,I am a bit upset,0.0
I am scared,I am cleaning my room,0.78
I am reading a book,I am cooking dinner,0.48
I am coding a project,It is a beautiful day,0.19
I am very tired,The room is clean,0.0
The cat is sleeping,The game was fun,0.23
The movie was boring,I am coding a project,0.11
It might snow today,The dog is barking,0.15
The weather is hot,The bed is comfortable,0.35
It is windy today,I am doing yoga,0.0
The car is parked outside,The room is clean,0.33
The game was fun,I am playing football,0.02
The bed is comfortable,I am going to the gym,0.39
I am reading a book,The weather is cold,0.0
The weather is cold,The game was fun,0.25
I am learning a new language,I am scared,0.36
The food tastes great,I am reading a book,0.0
It might snow today,I am feeling great,0.02
I am playing football,I am coding a project,0.63
It is a beautiful day,The weather is cold,0.4
I am calm and relaxed,It is raining today,0.01
I am reading a book,I am doing yoga,0.26
I am a bit upset,It is raining today,0.0
I am playing football,The car is parked outside,0.14
It is windy today,The car is parked outside,0.28
I am calm and relaxed,There is a thunderstorm,0.0
I am watching a movie,I am doing yoga,0.4
I am calm and relaxed,The food tastes great,0.02
I am very tired,The phone is ringing,0.0
The computer is running,The cat is sleeping,0.38
The movie was boring,The room is clean,0.15
I feel excited,It is windy today,0.0
The car is parked outside,I am happy today,0.0
The weather is cold,It is a beautiful day,0.08
It is a beautiful day,I am calm and relaxed,0.19
The weather is hot,It is a beautiful day,0.37
I am very tired,The food tastes great,0.11
I feel nervous,I am feeling great,0.32
The bed is comfortable,I am coding a project,0.05
The game was fun,The computer is running,0.45
The phone is ringing,I am very tired,0.0
It is a beautiful day,There is a thunderstorm,0.49
I am playing football,I am learning a new language,0.63
The food tastes great,It is raining today,0.08
I am doing yoga,A storm is coming,0.0
It is raining today,I am happy today,0.34
I am calm and relaxed,I am cleaning my room,0.4
I am cooking dinner,I am cooking dinner,1.0
There is a thunderstorm,I am reading a book,0.15
It is sunny today,I am coding a project,0.0
The bed is comfortable,I am feeling great,0.0
I am happy today,The weather is cold,0.04
The room is clean,It is a beautiful day,0.07
I am doing yoga,I am happy today,0.44
There is a thunderstorm,I feel nervous,0.04
It is windy today,The weather is cold,0.44
It is windy today,The car is parked outside,0.42
The bed is comfortable,I am playing football,0.07
The food tastes great,The game was fun,0.09
I am going to the gym,I am scared,0.42
I am watching a movie,I am calm and relaxed,0.51
I am cooking dinner,The dog is barking,0.13
The phone is ringing,I am studying for exams,0.06
The weather is hot,It is raining today,0.39
It is sunny today,The food tastes great,0.0
The computer is running,I am happy today,0.0
It might snow today,The game was fun,0.0
I am coding a project,The phone is ringing,0.0
I am calm and relaxed,I am a bit upset,0.56
I am sad today,The computer is running,0.03
The bed is comfortable,The weather is cold,0.52
The computer is running,I am sad today,0.0
I am learning a new language,I am scared,0.15
I am coding a project,A storm is coming,0.11
I am sad today,I am playing football,0.48
I am doing yoga,I am reading a book,0.7
The dog is barking,I am scared,0.0
The dog is barking,I feel excited,0.02
I am a bit upset,The room is clean,0.19
A storm is coming,It is sunny today,0.34
It is raining today,It might snow today,0.48
I feel excited,It is cloudy today,0.06
I am learning a new language,The room is clean,0.17
I am studying for exams,The phone is ringing,0.15
I am learning a new language,I am cooking dinner,0.26
It is a beautiful day,I am going to the gym,0.0
The weather is cold,The food tastes great,0.17
I am watching a movie,I am a bit upset,0.55
I am watching a movie,It is windy today,0.0
I am very tired,The computer is running,0.0
The car is parked outside,The computer is running,0.46
I am scared,I am scared,0.83
I feel excited,The weather is hot,0.19
The phone is ringing,I am learning a new language,0.06
It is windy today,It is sunny today,0.61
I am a bit upset,I am very tired,0.25
The cat is sleeping,I am feeling great,0.0
I am scared,I am playing football,0.79
The weather is cold,The car is parked outside,0.36
I am going to the gym,I am cleaning my room,0.16
I am happy today,I am doing yoga,0.64
The computer is running,I am playing football,0.08
It is raining today,The cat is sleeping,0.34
I am playing football,I am learning a new language,0.58
The movie was boring,I am calm and relaxed,0.0
I am very tired,The car is parked outside,0.06
The car is parked outside,There is a thunderstorm,0.17
The bed is comfortable,It is raining today,0.44
The game was fun,A storm is coming,0.0
The cat is sleeping,I am very tired,0.0
The weather is hot,It is cloudy today,0.44
It is a beautiful day,The computer is running,0.12
The dog is barking,I feel nervous,0.0
I am scared,I am sad today,0.57
The food tastes great,It is cloudy today,0.18
I am feeling great,It might snow today,0.19
There is a thunderstorm,I am cleaning my room,0.16
The weather is cold,It is a beautiful day,0.39
I am watching a movie,It is a beautiful day,0.04
The food tastes great,I am watching a movie,0.06
There is a thunderstorm,I feel confident,0.0
It might snow today,I am calm and relaxed,0.19
I am playing football,The phone is ringing,0.0
It is sunny today,I am reading a book,0.0
I am doing yoga,I am cooking dinner,0.63
I am calm and relaxed,I am sad today,0.41
A storm is coming,I am feeling great,0.12
I am playing football,I am cleaning my room,0.61
I am coding a project,I am cleaning my room,0.57
I am learning a new language,The phone is ringing,0.13
It might snow today,I am cleaning my room,0.0
The computer is running,I am reading a book,0.18
The food tastes great,I am happy today,0.13
The bed is comfortable,It is raining today,0.07
I am sad today,There is a thunderstorm,0.13
The food tastes great,There is a thunderstorm,0.05
I am playing football,I am learning a new language,0.61
The car is parked outside,It is a beautiful day,0.29
I am doing yoga,I am playing football,0.37
It is a beautiful day,I feel nervous,0.0
It is cloudy today,It is windy today,0.89
I am studying for exams,I feel excited,0.14
I am sad today,I am very tired,0.34
I am coding a project,I am reading a book,0.65
The weather is cold,There is a thunderstorm,0.24
I am scared,I feel confident,0.52
I am happy today,I am very tired,0.35
I am a bit upset,I feel excited,0.06
I am coding a project,I feel confident,0.11
I am coding a project,I am sad today,0.38
I feel confident,I am cooking dinner,0.22
The dog is barking,It is cloudy today,0.13
I feel confident,I am watching a movie,0.28
I am coding a project,The car is parked outside,0.0
I am watching a movie,It is cloudy today,0.0
I am playing football,It is sunny today,0.0
The bed is comfortable,It is cloudy today,0.27
I am very tired,The computer is running,0.0
I am sad today,It is windy today,0.23
I am scared,I am calm and relaxed,0.85
I am watching a movie,I am reading a book,0.48
It is windy today,It is a beautiful day,0.47
I am cleaning my room,The phone is ringing,0.14
I am learning a new language,I am cleaning my room,0.48
I am watching a movie,I am happy today,0.27
The room is clean,I am a bit upset,0.05
The cat is sleeping,I am a bit upset,0.0
The room is clean,It is a beautiful day,0.42
The food tastes great,The phone is ringing,0.05
I am a bit upset,I am playing football,0.39
It is raining today,The weather is hot,0.12
I am studying for exams,I am studying for exams,1.0
I am coding a project,I am playing football,0.48
It might snow today,The car is parked outside,0.1
I am coding a project,I am scared,0.5
I am learning a new language,The phone is ringing,0.06
The cat is sleeping,I am calm and relaxed,0.05
It is sunny today,The bed is comfortable,0.06
I am cooking dinner,I am a bit upset,0.62
I am studying for exams,I am scared,0.5
I am learning a new language,I feel excited,0.27
The computer is running,The room is clean,0.36
I am going to the gym,The weather is hot,0.31
I feel confident,I am calm and relaxed,0.47
The phone is ringing,The bed is comfortable,0.55
The bed is comfortable,It might snow today,0.0
I am going to the gym,The cat is sleeping,0.03
The game was fun,The weather is cold,0.06
It is cloudy today,The movie was boring,0.0
The car is parked outside,The food tastes great,0.24
I am calm and relaxed,The movie was boring,0.0
It might snow today,The computer is running,0.0
I am sad today,It is a beautiful day,0.0
It is a beautiful day,I feel excited,0.03
It might snow today,The weather is hot,0.0
I feel confident,The room is clean,0.0
It is a beautiful day,It is windy today,0.3
I am cleaning my room,I am cleaning my room,0.96
I am happy today,I am scared,0.5
I feel nervous,The computer is running,0.01
I feel excited,I am watching a movie,0.43
I am calm and relaxed,The car is parked outside,0.0
It might snow today,I am scared,0.0
I am reading a book,The food tastes great,0.0
There is a thunderstorm,I am feeling great,0.0
I am watching a movie,It is sunny today,0.13
The weather is cold,It is a beautiful day,0.45
The room is clean,I am cooking dinner,0.0
I am going to the gym,I am learning a new language,0.48
The room is clean,It is windy today,0.41
The movie was boring,There is a thunderstorm,0.0
I am happy today,The game was fun,0.01
I am reading a book,The movie was boring,0.02
I am calm and relaxed,It is sunny today,0.0
It is windy today,The phone is ringing,0.19
I am coding a project,A storm is coming,0.3
I feel nervous,A storm is coming,0.1
It is windy today,It is windy today,0.83
There is a thunderstorm,I am going to the gym,0.0
It is windy today,I am coding a project,0.0
I am playing football,The dog is barking,0.0
I am cleaning my room,The weather is hot,0.0
It is cloudy today,It is a beautiful day,0.44
I am going to the gym,I am reading a book,0.22
The weather is cold,The computer is running,0.5
The movie was boring,I am cooking dinner,0.0
The weather is cold,It is raining today,0.32
I am playing football,The computer is running,0.0
It is raining today,I am cleaning my room,0.06
I feel excited,I am a bit upset,0.44
The weather is cold,It is raining today,0.05
It is windy today,It might snow today,0.41
It is raining today,I am coding a project,0.17
I am watching a movie,The bed is comfortable,0.0
I am studying for exams,The food tastes great,0.0
I feel nervous,It is windy today,0.07
I am scared,The room is clean,0.06
It is cloudy today,I am feeling great,0.04
It is raining today,I am feeling great,0.11
The weather is cold,The car is parked outside,0.49
There is a thunderstorm,I am learning a new language,0.31
I am cooking dinner,I am coding a project,0.47
The food tastes great,The bed is comfortable,0.22
I am cleaning my room,The movie was boring,0.0
The weather is hot,I feel excited,0.05
I feel excited,It is raining today,0.18
It is a beautiful day,I am learning a new language,0.21
It is raining today,I am scared,0.16
The food tastes great,I feel nervous,0.0
It is windy today,It is a beautiful day,0.65
It might snow today,It might snow today,0.93
I am watching a movie,The movie was boring,0.1
It might snow today,I feel nervous,0.05
The computer is running,The room is clean,0.35
I am calm and relaxed,It might snow today,0.0
I am sad today,I am studying for exams,0.64
The weather is cold,The movie was boring,0.19
I am sad today,I am coding a project,0.46
The food tastes great,The computer is running,0.3
The room is clean,I feel excited,0.03
It is cloudy today,It is cloudy today,1.0
I am feeling great,I am cleaning my room,0.66
A storm is coming,The cat is sleeping,0.36
I am playing football,The weather is hot,0.0
I feel nervous,The movie was boring,0.03
It is sunny today,I am going to the gym,0.0
It is sunny today,I feel excited,0.13
The phone is ringing,I am watching a movie,0.0
I feel confident,The food tastes great,0.17
I feel nervous,I am happy today,0.24
The food tastes great,The dog is barking,0.19
I am calm and relaxed,I am cooking dinner,0.28
I feel confident,I am playing football,0.5
I am doing yoga,The food tastes great,0.12
I am cleaning my room,The car is parked outside,0.0
I am going to the gym,I feel excited,0.18
The room is clean,A storm is coming,0.34
I am cooking dinner,It is windy today,0.03
I am playing football,The dog is barking,0.09
I feel confident,I am studying for exams,0.23
The dog is barking,I am a bit upset,0.11
It might snow today,It might snow today,0.9
I am very tired,The movie was boring,0.0
I am cooking dinner,I am scared,0.45
The phone is ringing,A storm is coming,0.17
I am sad today,The cat is sleeping,0.0
I am happy today,The weather is hot,0.04
I am a bit upset,I feel excited,0.31
I am a bit upset,I am doing yoga,0.36
It is cloudy today,The room is clean,0.28
I am playing football,I am watching a movie,0.3
It is a beautiful day,The room is clean,0.25
The food tastes great,It is windy today,0.17
The weather is hot,A storm is coming,0.24
I am watching a movie,The weather is cold,0.0
The room is clean,The car is parked outside,0.61
I am very tired,I am watching a movie,0.32
I am cooking dinner,I am cooking dinner,1.0
The dog is barking,I am sad today,0.0
There is a thunderstorm,I am cooking dinner,0.0
It is windy today,I am watching a movie,0.05
I am scared,The game was fun,0.2
I am reading a book,I am reading a book,0.87
I am a bit upset,It is raining today,0.0
I am feeling great,I am scared,0.52
I am cleaning my room,It is a beautiful day,0.0
It is windy today,I am watching a movie,0.0
The weather is cold,I am very tired,0.05
The game was fun,It is raining today,0.04
It is a beautiful day,I am scared,0.0
I am reading a book,The movie was boring,0.11
I am happy today,The weather is cold,0.0
I am scared,A storm is coming,0.07
I am feeling great,It is cloudy today,0.11
The computer is running,I am watching a movie,0.0
The food tastes great,The weather is cold,0.36
It is windy today,It is sunny today,0.67
I am learning a new language,There is a thunderstorm,0.14
It might snow today,The car is parked outside,0.0
There is a thunderstorm,I feel nervous,0.07
I am learning a new language,I am happy today,0.41
The cat is sleeping,I am playing football,0.0
The movie was boring,The phone is ringing,0.41
It is windy today,I am learning a new language,0.0
It is windy today,I am cooking dinner,0.0
I am studying for exams,The dog is barking,0.07
It is cloudy today,I am learning a new language,0.0
It is raining today,I am cleaning my room,0.19
I am going to the gym,I am watching a movie,0.28
The food tastes great,I am happy today,0.09
I am going to the gym,The weather is hot,0.33
I feel excited,I am doing yoga,0.17
The dog is barking,It might snow today,0.0
It is raining today,I am cooking dinner,0.12
The computer is running,It is cloudy today,0.28
I feel excited,I am studying for exams,0.16
It is sunny today,I am studying for exams,0.17
I am a bit upset,I am scared,0.28
The food tastes great,The phone is ringing,0.2
I am scared,I am very tired,0.75
The food tastes great,There is a thunderstorm,0.0
It is raining today,I am doing yoga,0.0
The dog is barking,I am sad today,0.0
I am cleaning my room,I feel nervous,0.3
I am reading a book,I am coding a project,0.74
I am cleaning my room,It is raining today,0.07
It is a beautiful day,It is raining today,0.49
The weather is hot,It is cloudy today,0.29
I am scared,I am doing yoga,0.52
I am feeling great,The cat is sleeping,0.0
The room is clean,It is sunny today,0.19
I am very tired,The bed is comfortable,0.0
The game was fun,The cat is sleeping,0.35
I am cooking dinner,I am reading a book,0.38
I am reading a book,I am happy today,0.54
It is cloudy today,The cat is sleeping,0.31
The game was fun,The room is clean,0.31
I am cooking dinner,The dog is barking,0.0
The car is parked outside,I am coding a project,0.0
I am doing yoga,The dog is barking,0.04
I am watching a movie,There is a thunderstorm,0.37
I am playing football,I am happy today,0.69
The game was fun,I feel excited,0.05
The food tastes great,I am playing football,0.0
It might snow today,I am reading a book,0.08
It is cloudy today,I am a bit upset,0.0
I am happy today,The dog is barking,0.0
I am reading a book,I am watching a movie,0.43
I am coding a project,There is a thunderstorm,0.39
There is a thunderstorm,The weather is cold,0.16
I am a bit upset,It is cloudy today,0.14
I am happy today,I am watching a movie,0.54
The movie was boring,I am happy today,0.12
I am studying for exams,I am going to the gym,0.59
I am happy today,I am learning a new language,0.59
It might snow today,It is windy today,0.55
The cat is sleeping,I am calm and relaxed,0.05
I feel confident,I am learning a new language,0.29
I am a bit upset,The game was fun,0.16
It is sunny today,I feel excited,0.0
The food tastes great,The weather is hot,0.22
The game was fun,There is a thunderstorm,0.0
There is a thunderstorm,The weather is cold,0.28
I am playing football,It might snow today,0.0
A storm is coming,I am coding a project,0.36
I am cooking dinner,I am doing yoga,0.38
I am cooking dinner,It is sunny today,0.02
It is sunny today,The bed is comfortable,0.33
It is windy today,The car is parked outside,0.09
The weather is cold,I am doing yoga,0.16
I am happy today,I feel confident,0.42
I am learning a new language,The computer is running,0.04
I am playing football,It is raining today,0.19
I am scared,The room is clean,0.13
I am going to the gym,The computer is running,0.27
I am coding a project,It might snow today,0.0
The computer is running,It is a beautiful day,0.32
It might snow today,A storm is coming,0.0
I am feeling great,The room is clean,0.18
The computer is running,I am studying for exams,0.1
It is cloudy today,I am playing football,0.16
I am sad today,I feel excited,0.19
There is a thunderstorm,I am feeling great,0.0
The movie was boring,I am doing yoga,0.0
I am learning a new language,I am going to the gym,0.41
There is a thunderstorm,I feel excited,0.0
I am coding a project,I am scared,0.41
There is a thunderstorm,I am a bit upset,0.24
The weather is hot,The bed is comfortable,0.45
I am scared,I am learning a new language,0.74
I am cleaning my room,The food tastes great,0.0
A storm is coming,I am very tired,0.09
I am studying for exams,The computer is running,0.1
I am scared,It is sunny today,0.0
It might snow today,I am calm and relaxed,0.0
I feel confident,I am playing football,0.51
I am watching a movie,I am happy today,0.33
I am cooking dinner,I am cooking dinner,0.91
There is a thunderstorm,I am feeling great,0.0
I feel confident,I am learning a new language,0.19
I am very tired,The dog is barking,0.0
The phone is ringing,I am very tired,0.0
I feel nervous,The bed is comfortable,0.0
I am learning a new language,The room is clean,0.04
The room is clean,It is sunny today,0.25
